Film Adı,Türler,Özet
Kaos,"Dram, Aksiyon, Suç","Quentin Correns (Jason Statham) Born köprüsünde olan bir kazada yapmaması gerektiği halde rehineyi vurduğu için teşkilat tarafından açığa alınmıştır. Olaydan bayağı bir süre sonra bir banka soygunu gerçekleştirilir. Bir kişi vurularak hayatını kaybetmiştir. Ve soygunun başkanı Lorenz(Wesley Snipes) Correns i istemektedir.İstek yerine getirilir ve Correns e birde zeki bir yardımcı genç dedektif verilir. (Ryan Philippe) . Banka soygunu ucuz atlatılır fakat hiçbirşeyin çalınmadığı fark edilir. Kameralar elektrik kesintisinden dolayı çalışmadığı için hiçbirşeyi kaydetmediği için herkesin aklında bir soru kalır . Film ilerledikçe Lorenz in o büyük ortağının kim olduğu hususunda muhteşem bir merak sözkonusu . Zeka , aksiyon ve gerilimin bir arada bulunduğu enfes filmlerden biri Chaos(Kaos).."
Clovehitch Katili,"Dram, Gizem, Suç","Kasabanın kilisesinde gönüllü olarak çalışan Tyler Burnside (Charlie Plummer) aynı zamanda bir izcidir. Saygılı bir genç olan Tyler’ın babası da (Dylan McDermott) dürüstlüğüyle tanınan bir topluluk lideridir. Yaşadıkları sessiz Kentucky kasabasının tek bir sorunu vardır: onlarca yıl önce işlenen ve topluluğu derinden sarsan çözülmemiş cinayetler. On kadının vahşice işkenceye uğradığı ve öldürüldüğü bu cinayetler Clovehitch olarak tanınan bir psikopat tarafından işlenmiştir. Tyler, babasının zulasında rahatsız edici fotoğraflar bulduğunda, dünyada en güvendiği insanın Clovehitch olabileceğinden ve henüz son cinayetini işlemediğinden şüphe etmeye başlar."
You Gotta Believe,"Aile, Dram",
Kemah Terlarang: Kesurupan Massal,Korku,
Doraemon: New Nobita's Great Demon-Peko and the Exploration Party of Five,"Aile, Animasyon, Macera, Fantastik, Komedi, Bilim-Kurgu","Nobita sokakta  köpek bulur ve onu eve getirir, köpeğin aslında ülkesinde bir prens olduğunun farkında değildir. Afrika'nın göbeğinde derinleşen bir dünyada köpekler evrimleşmiş ve kendi imparatorluğunu kurmuştu. Nobita ve arkadaşları genç prensi vatanına geri götürmek için bir yolculuğa çıkıyorlar, ancak oraya vardıklarında işler değişmişti...."
Kelimeler Yetmez,"Dram, Komedi","Jack ağzı çok iyi laf yapan herkesi ikna edebilen bir temsilcidir. Günün birinde Jack ‘in yaşadığı evin bahçesinde Bodhi ağacının çıkmasıyla Jack ‘in hayatı zindana döner. Jack ‘in her konuşmasında Bodhi ağacında bir yaprak eksilir ağaçta son yaprağın düşmesi demek hem Jack ‘in hem Bodhi ağacının yok olması demektir. Jack artık konuşmayı bırakıp insanlarla iletişim kurabileceği bir yol aramak zorundadır.  A Thousand Words Yönetmenliğini Brian Robbins ‘in yaptığı filmin başrollerinde ise Eddie Murphy, Cliff Curtis, Kerry Washington yer almaktadır..."
Uzaydan Gelen Renk,"Korku, Bilim-Kurgu, Gizem","21. yüzyılın karmaşasından kaçmak için kırsal New England'da uzak bir çiftliğe taşınan bir aileye odaklanıyor. Bir göktaşı ön bahçelerine düşünce, farklı bir uzay-zamanın özelliklerine sahip yeni bir gezegenin rengini topraklarına bulaştırır. Aile, bu yabancı gücün dokunduğu her canlıyı yavaş yavaş değiştirdiğini keşfeder."
"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura","Aksiyon, Animasyon, Macera, Komedi",One Piece serisinin 9. filmidir. Serideki Drum Island hikâyesinin olduğu bölümlerin özetidir.
Gone Fishing,"Animasyon, Komedi",
Jackie,Dram,"Jackie, Amerika tarihinin en önemli ve trajik anlarından biri olan Kennedy suikastine, dönemin First Lady’si Jacqueline Kennedy’nin gözlerinden anlatan samimi bir film. Jackie izleyiciyi, Kennedy suikastinin hemen sonrasında yaşananları göstermek için Jackie Kennedy’nin dünyasının merkezine oturtuyor. Ağırbaşlılığı ile tanınan First Lady’nin üstüne kalan miras ile başa çıkışının psikolojik bir portresi."
사슬-두여자의유혹,"Dram, Romantik",
Trumbo,Dram,"Trumbo Jay Roach tarafından yönetilen ve John McNamara tarafından yazılan biyografik drama filmi.  Yetenekli senaryo yazarı Dalton Trumbo'nun hayat hikayesinden kesitler taşıyan filmde; 1940 döneminde başlatılan cadı avı ve bu sebeple Hollywood'daki pek çok yıldız ismin başlarının belaya girmesi perdeye taşınmış. Kara listede tepelerde yer alan Trumbo ve arkadaşlarının öyküsü, bir dönem Amerika'da yaşanan cadı avının boyutlarının Hollywood'a kadar uzandığını gösteriyor."
Megalomaniac,"Korku, Gizem, Gerilim",
Schulmädchen-Report: Was Eltern nicht für möglich halten,Dram,
Kanunsuz Giriş,"Suç, Gizem, Gerilim","Psikiyatrik tedaviye muhtaç bir polisin, bir evli çiftin hayatını karartmasını konu alan bir yapım. Önceleri şiddete karşı olan bir vatandaşın, polis şiddeti karşısında, taciz, takip, hesaplarının bloke edilmesi vs. gibi şantaj ve zorbalığa karşı verdiği mücadele."
Barbie: İyi Noeller,"Animasyon, Aile","Barbie ve kız kardeşleri, Noel'i aileleriyle geçirmek için New York'a geri döner. Ancak bir kar fırtınası nedeniyle, uçuşun yönlendirilmesi gerekiyor ve sonunda Tannenbaum adlı küçük bir yere iniyorlar. Orada, sakinleri tarafından sıcak bir şekilde karşılandıklarında ve yeni arkadaşlarıyla harika anlar yaşadıklarında onları büyülü bir Noel bekliyor, bu da onlara büyülü bir Noel'in ancak harika insanlarla mümkün olduğunu gösteriyor."
Yaşamın Renkleri,"Fantastik, Komedi, Dram","Pleasantville, siyah-beyaz tonların egemenliğindeki, küçük ve kendine yeten bir kasabadır. Kasabanın insanları müthiş bir ahenk ile birbirlerine bağlıdırlar. Bu kasabada asla kötülük hüküm sürmeyecek gibidir. Ancak ortada bir problem vardır: Pleasantville, bir televizyon dizisinin kurguladığı bir kasabadır. David ise bir 90’lar çocuğudur. Hayatına dair en büyük hobisi Pleasantville’i izlemek ve dizi hakkındaki her şeyi bilmektir. Bir gün esrarengiz bir televizyon tamircisi, David’in evine tuhaf bir televizyon kumandası bırakır. David, bu kumanda sayesinde ablası Jennifer’ı da yanlışlıkla yanına alarak Pleasantville’in içerisine girmeyi başaracaktır. Gary Ross’un özellikle teknik dallarda Oscar’a aday olan filmi büyük bir beğeni toplayıp kült mertebesine ulaşmıştı. Filmin başrollerinde ise Tobey Maguire, Reese Witherspoon, Jeff Daniels, William H. Macy ve Joan Allen gibi ünlü simaları görmek mümkün."
ちいさな英雄－カニとタマゴと透明人間－,"Animasyon, Fantastik, Macera, Dram",
Şampiyonlar,"Komedi, Aile, Dram","Profesyonel bir basketbol takımının yardımcı koçunun, mahkemenin verdiği 90 günlük zorunlu hizmet cezası süresince, zihinsel engelli oyunculardan oluşan bir basket takımını eğitmesinin hikayesi. Eşiyle anlaşamayan ve bir sürü problemi olan kahramanımız, başlangıçta bu işi ciddiye almayacak ve sıyırmaya çalışacaktır. Zaman ilerledikçe birbirine ısınan ve karşılıklı korkularını yenen koç ve oyuncuların sıcacık oyunculukları ile tertemiz bir komedi, aynı zamanda biz insanlara ders niteliği taşıyor."
Aşk Molası,"Komedi, Romantik","Uzun yıllar arkadaş olan Kate ve Meg, zamanlarının çoğunu birlikte geçirmektedir. Sıkıldıkları hayatlarından ve kurtulmaya çalıştıkları birçok sorundan kaçabilmek için tatil yapmaya karar verirler. Bir umutla çıktıkları yolculukları, uçağın kasırgadan dolayı rotasını değiştirmek zorunda kalmasıyla tatsızlaşır. Ama bu tatsızlık yerini tatlı bir rekabete bırakacaktır. Çünkü, St. Louis'de hava koşullarının düzelmesi için bekleyen iki arkadaş, bu sırada kendilerini aynı adam için savaşırken bulur."
Ida regénye,"Romantik, TV film, Tarih",
Tamako Love Story,"Romantik, Animasyon, Komedi","Enerjik fakat genelde saf olan 3. sınıfa giden Tamako Kitashirakawa, lise hayatının sonuna yaklaşırken tek bir endişesi bulunmaktadır o da; Usagiyama Yürüyüş Festivalinde baston ile etkileyici bir gösteri yapmaktır. Ancak kısa bir süre sonra tüm arkadaşlarının gelecekle ilgili büyük planları olduğu gerçeğiyle yüzleşir ama o sadece ailesinin restorantını yürütmek gibi sıradan bir plana sahiptir. Mochizou Ooji ailesini, arkadaşlarını ve en önemlisi ilk ve tek aşkı olan Tamako'yu geride bırakıp Tokyo'da bir üniversiteye gitmek istemektedir. Ne yazık ki utangaç aşık, aşkını ilan edememektedir ve de Tamako henüz böyle bir ıstıraba sebep olduğunu bilmemektedir. Zaman su gibi akarken, Mochizou'nun Tamako'ya hızlıca aşkını ilan etmesi gerekmektedir yoksa onun hayalindeki aşk asla gerçekleşemeyecektir. ""Herkes birini sever."""
Johnson Family Vacation,"Komedi, Aile",
Sicario: Capos,"Suç, Gerilim, Aksiyon",
Beyaz Noel,"Komedi, Müzik, Romantik","Beyaz Noel, aralarında ""Count Your Blessings Instead Of Sheep"", ""Sisters"", ""Blue Skies"" ve sevilen yeni yıl şarkısı ""White Christmas"" gibi Irving Berlin klasiklerinin bulunduğu tam bir hazine. İki yetenekli dansçı (Bing Crosby ve Danny Kaye) savaştan sonra biraraya gelerek gösteri dünyasına girerler. O kış gruplarına bayan elemanlar da (Rosemary Clooney ve Vera-Ellen) katarak Noel'i geçirmek üzere Vermont'a giderler. Asıl macera, otelin sahibinin maddi zorluklarla boğuşan eski bir ordu komutanı olduğunu keşfetmeleriyle başlar."
実録　桐かおる　にっぽん一のレスビアン,Dram,
Soğuk Ten,"Korku, Fantastik, Dram","Konusu 1914'de geçen filmde, bir meteorolog, mahsur kalarak sıkıştığı okyanus ortasındaki ıssız bir adada deniz fenerinin bekçisiyle beraber hayatta kalmaya çalışır. Çünkü adada yalnız değildirler..."
Mastürbasyona Başladığım Yıl,"Komedi, Dram, Romantik","Hırslı, aşırı başarılı Hanna'nın hayatı mükemmel olmadan önce bir çocuğa daha ihtiyacı var. Bebeğin babası beklenmedik bir şekilde onu terk eder. Birdenbire kendini yaşayacak bir yeri, işi ya da ailesi olmadan bulur. Her zerresi zafere hazır olan Hanna pes etmeyi reddeder ve onu geri kazanmaya karar verir. Ancak oraya ulaşmak, çok daha önemli bir şeyi, kendisi ve kim olduğu için sevgi ve arzu kazanmak zorunda olmak demektir."
"Aşçı, Hırsız, Karısı ve Aşığı","Suç, Dram","İğrenç bir insan olan korkunç haydut Albert, adamları ve karısı Georgina ile birlikte her akşam aynı lokantada kurdurduğu açgözlü sofrada yemek yemektedir. Albert'in saçtığı dehşet, Fransız aşçı Richard'ın, yemek aralarında Georgina'nın aşığı Michael ile mutfak köşelerinde yatıp kalkmasına göz yummasına sebep olmaktadır.  Kan, seks, yamyamlık ve dünyevi iştahın görsel bir şölene dönüştüğü hem eğlenceli hem de korkunç film, her türlü uyarıcı etkiye rağmen, sıradışı İngiliz auteur Peter Greenaway'in geniş kitlelerce yenilip yutulabilmiş belki de tek eseri."
Bill ve Ted'in Maceraları 2,"Macera, Komedi, Bilim-Kurgu",Bu sefer kahramanlarımız gelecekten gelen kopyaları tarafından öldürülürler ve yerlerine kötü kopyaları geçer.Kahramanlarımız cehennemde hem şeytanla köşe kapmaca oynayacaklar hemde geri dönüp kötü kopyalarıyla mücadele edip sevgililerini kurtarmaya çalışacaklardır..
Tampopo,Komedi,"Yemek ve yemek fetişizmi üzerine eğlenceli bir film olan 'Tampopo'da içiçe geçmiş çok karakterli pek çok öykü anlatılıyor. Tampopo kendi restoranında özensiz ‘Ramen’ pişirip durmaktadır. Goro ve arkadaşı ise yol üstünde karınlarını doyurmaya gelmişlerdir fakat kendilerini Tampopo’ya aşçılıkta ustalaşmakta yardım ederken bulurlar. Sadece lezzetli Ramen pişirmenin püf noktalarını öğrenmek değil, alakalı alakasız ‘an’larla kafanızı karıştıracak veya güldürecek sade bir hikayenin sıradan olması gerekmediğini hatırlamak da gayet güzeldir. Yaptıklarınızın sürekli sıradan, hatta ortalamanın altında kalması inanılmaz can sıkıcıdır."
Leprikon 6: Mahalleye Dönüş,"Korku, Komedi",Emily Woodrow ve arkadaşları içi altın dolu bir sandık bulurlar.Bilge bir kahinin uyarılarını dikkate almazlar ve altınını fanatikçe koruyan Leprechau'nun hedefi haline gelirler.
Ziyafet,"Korku, Aksiyon","Gözlerden uzak bir barda, birbirlerini tanımayan bir grup insan, gece vakti oraya hapsolurlar. Aradan kısa bir süre geçtikten sonra barın altında gizli bir sığınak olduğunu keşfederler. Bu sığınakta insan etiyle beslenen korkunç yaratıklar yaşamaktadır ve yaratıklar barda kapalı kalmış grubun kokusunu almıştır. Şimdi bu et-obur canavarların kol gezdiği bardan kurtulmak için el ele vermek zorundadırlar. Aliens filminde yaratıkları dizayn eden, görsel efektlerdeki başarısıyla Hollywood’da adını duyuran ve Blade serisinin ilk filmini yöneten Stephen Norrington, bu filmde de yaratığı tasarlayan ekipte yer alıyor..."
Vahşi Belde,Vahşi Batı,"Bir grup kanunsuz, emekliliklerini ilan etmeden önce son bir banka soygunu için bir araya gelir... Ancak soygun istedikleri gitmez. Çıkan çatışmada arkadaşlarının bir bölümünü kaybederler. Peşlerindeki kanun adamlarından kaçışları Meksika'da son bulurlar. Bir yandan peşlerindeki belalı bir ödül avcısı, öte yandan da yeni geldikleri ülkedeki cani askerler. Meksika'da huzur değil adeta bela bulan grup kaçışlarının bir son bulduğunu sanmaktadır ancak bu son aslında her şeyin başlangıcı olacaktır.  Sam Peckinpah'ın western sinemasını sarsan filmi hala aşılması çok zor bir klasik. ""Battle of Bloody Porch"" adı verilen klasik final sahnesi 12 günde çekilen filmin öyküsünde toplamda 145 kişi ölüyordu. Toplam 6 kamera ile çekilen bu sahnede, kameralardan biri suda kaybolmuştu."
Boş Ev,"Dram, Romantik, Suç","Kendine ait bir hayatı olmayan, diğer insanların yaşamına, kendi yöntemleriyle ortak olan bir adam... Yardıma ihtiyacı olan genç bir kadın...Tatile giden insanların boşalttığı evlerini kullanarak yaşayan ve karşılığını kendince, bozulmuş ev aletlerini onararak ödeyen tuhaf bir adamın hikayesi Boş Ev. Yine böyle bir misafirliği sırasında kaldığı evde yalnız olmadığını fark eder. Evde kocası tarafından işkence gören genç bir kadınla karışılaşan adam şaşkındır. İlk başta birbirlerinden çok farklı görünen bu iki insan giderek yakınlaşır ve aralarında sıradışı bir ilişki başlar.Sinemanın görsel gücünü kullanmayı büyük bir ustalıkla başaran Kim Ki-Duk'un Boş Ev'i, bunu en iyi kanıtladığı filmlerinden biri."
Aramızda Casus Var,"Komedi, Romantik","Gazetecilik stajına cinsiyetçilik nedeni ile alınmadığını düşünen Terri, erkek olarak yaşamayı dener. Fakat erkeklerin hayatının da pek kolay olmadığını öğrenecekir."
Barbie: Prenses Deniz Kızı,"Aile, Animasyon",Barbie bu kez genç denizkızı Lumina olarak karşımıza çıkıyor ve bir kraliyet partisine davet ediliyor.
Rommel,"Aksiyon, Savaş, Tarih, Dram",
Kötü Deha,"Dram, Suç, Gerilim, Komedi","Lynn, sınavlarda arkadaşlarına kopya vererek para kazanan zeki bir lise öğrencisidir. Bir gün karşısına Sidney, Avustralya'ya gitmesini gerektiren yeni bir sınav çıkar. Milyonlarca bahtlık görevini gerçekleştirmek için Lynn ve sınıf arkadaşları uluslararası üniversite giriş sınavını tamamlamalı ve Tayland'daki arkadaşlarına ülkelerinde yapılacak olan aynı sınavın saatinden önce cevapları ulaştırmaları gerekmektedir. Film Tayland'daki sınıflar arası eşitsizliği ve bozuk eğitim sistemini ağır bir şekilde eleştiriyor."
LOL,"Dram, Komedi, Romantik","Filmin adı ""Laughing Out Loud"" kısaca L.O.L olarak söylenen filmde Miley Cyrus'un annesini Demi Moore canlandırıyor, Mileyin annesi yeni boşanmış bir anneyi canlandırırken Mileyde 18li yaşlara yeni girmiş bir genç kızı canlandırıyor filmde Miley, Annesi ve Erkek arkadaşıyla yaşanan olaylar anlatılıyor..."
Salting the Battlefield,"Aksiyon, Dram, Suç",The Johnny Worricker ajan üçlemesinin son filmi. Kahramanımız ve eski kız arkadaşı Avrupa'yı bir uçtan bir diğerine katederek intikamcı başbakandan ve gizli servislerden kaçarlarken; hem aileleri hem de arkadaşları da ayrıca izlenmektedir. Johnny artık oyunu bitimek niyetindedir.
Ölüm Bizi Ayırana Dek,"Korku, Gerilim, Aksiyon","Düğün gününde kaçan bir gelin adayı, eski nişanlısı ve onun yedi ölümcül sağdıcına karşı hayatta kalma mücadelesi vermek zorundadır. Nihai korku hesaplaşmasında, sağdıçlar kısa süre sonra onun geride bıraktığı hayata geri dönmeye niyeti olmadığını keşfederler."
